"Reference","Value","Footprint","Datasheet","Field4","Manufacture","Package","Price","Sim.Device","Sim.Params","Sim.Pins","Value","Value_1","Value_1_1","수량"
"J17","Conn_01x04_Pin","Server.pretty:PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical","~","","DEVICEMART","","60","","","","Conn_01x04_Pin","","","1"
"J22","Conn_01x12_Male","Server.pretty:IDC-Header_2x06_P2.54mm_Vertical","~","","","","","","","","Conn_01x12_Male","","","1"
"J23","Conn_01x12_Male","Connector_FFC-FPC:Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal","~","","","","","","","","Conn_01x12_Male","","","1"
"JP1","SolderJumper_3_Open","Server.pretty:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","SolderJumper_3_Open","","","1"
"K2, K4, K5","JQC-T78-DC12V-C","Server.pretty:JQC-T78-DC12V-C","https://www.openidea.co.kr/goods/goods_view.php?goodsNo=1000010196","","DEVICEMART","","430","","","","JQC-T78-DC12V-C","","","3"
"MO1, MO3","MP1584","Server.pretty:MP1584-SMD","https://smartstore.naver.com/misoparts/products/5356716694","","","","880","","","","MP1584","","","2"
"MO2","ADS1115","Server.pretty:ADS1115","","","","","","","","","ADS1115","","","1"
"Q1-Q8, Q18, Q19, Q27-Q30, Q33, Q34","AOD4185","Server.pretty:AOD1485","https://www.devicemart.co.kr/goods/view?no=6603223","","DEVICEMART","TO-252-3","1050","","","","AOD4185","","","16"
"Q9-Q13, Q15-Q17, Q20, Q26, Q35","MMBT2222A","Server.pretty:SOT-23","","","","","","","","","MMBT2222A","","","11"
"R1, R6, R10, R19, R21, R23, R25, R34, R37, R38, R43-R50, R53, R56, R57","203F","Server.pretty:R_0805_HandSoldering","-- 섞인 값 --","","부품세상","2012(0805)","20","","","","203F","","","21"
"R2, R22, R24","100F","Server.pretty:R_0805_HandSoldering","-- 섞인 값 --","","부품세상","2012(0805)","20","","","","100F","","","3"
"R4","683F","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000637","","부품세상","2012(0805)","20","","","","683F","","","1"
"R5, R7-R9, R11, R13-R16, R20, R26, R28-R31, R51, R52, R65, R66","202F","Server.pretty:R_0805_HandSoldering","-- 섞인 값 --","","부품세상","2012(0805)","20","","","","202F","-- 섞인 값 --","","19"
"R12, R17, R18, R27, R32, R33, R35, R40, R41, R74, R79","103F","Server.pretty:R_0805_HandSoldering","-- 섞인 값 --","","부품세상","2012(0805)","20","","","","103F","","","11"
"R36","120F","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000614","","부품세상","2012(0805)","20","","","","120F","","","1"
"R39, R42, R55","330F","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000637","","부품세상","2012(0805)","20","","","","330F","","","3"
"R77","102F","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000637","","부품세상","2012(0805)","20","","","","102F","","","1"
"SW1","EN","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","https://www.devicemart.co.kr/goods/view?no=1322056","","","","30","","","","EN","","","1"
"SW2","IO_0","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","https://www.devicemart.co.kr/goods/view?no=1322056","","","","30","","","","IO_0","","","1"
"SW3","YSS-1203","Button_Switch_THT:SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile","~","","","","","","","","YSS-1203","","","1"
"SW4","NW3-SK-02","Server.pretty:NW3-SK-02","https://www.devicemart.co.kr/goods/view?no=1128484","","","","80","","","","NW3-SK-02","","","1"
"SW5, SW6","SW_Push","Server.pretty:TS-3404","https://ko.aliexpress.com/item/1005001629175919.html?spm=a2g0o.productlist.main.11.5e724c28lXbOYL&algo_pvid=f0595e6e-2810-4e0b-8806-369804a5228c&algo_exp_id=f0595e6e-2810-4e0b-8806-369804a5228c-5&pdp_npi=4%40dis%21KRW%212761%211374.0%21%21%212.05%21%21%402101c59517020762702623391e2bb4%2112000026886281234%21sea%21KR%212278664531%21AB&curPageLogUid=r6hnWocM2BSy","","","","","","","","SW_Push","","","2"
"TP1, TP2","GND","Measurement_Points.pretty:Test_Point_Keystone_5000-5004_Miniature","~","","","","","","","","GND","","","2"
"U2","MAX485","Server.pretty:MAX485","https://datasheets.maximintegrated.com/en/ds/MAX1487E-MAX491E.pdf","","","","","","","","MAX485","","","1"
"U4","","Server.pretty:ESP32-S3","","Espressif Systems","알파마이크로","","","","","","","","ESP32-S3","1"
"U5","ADS1115IDGS","Server.pretty:TSSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads1113.pdf","","","","","","","","ADS1115IDGS","","","1"
