"Source:","E:\CamTrol II\LM_Seet\PCB\L-CON V1.0\L-CON V1.0.kicad_sch"
"Date:","2024-06-21 오후 7:44:43"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Field4","Manufacture","Package","Price","Sim.Device","Sim.Params","Sim.Pins","Spice_Netlist_Enabled","Spice_Primitive","Value","Value_1","필드4","필드5"
"20","1","J9","DOOR -","Connector:Conn_01x02_Male","Server.pretty:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","https://www.devicemart.co.kr/goods/view?no=23260&market=naver&NaPm=ct%3Dkof8h100%7Cci%3D2b06ad3968d8adec0b2b30ae50256e40450772f8%7Ctr%3Dslsc%7Csn%3D876973%7Chk%3Dcbed85e5f251313af0535f600d98c0e674ebf3d9","","","DEVICEMART","","100","","","","","","ECH381V-2P","","",""
"21","1","J12","+","Connector:Conn_01x01_Male","Server.pretty:BR-120","https://www.devicemart.co.kr/goods/view?no=1232631","","","DEVICEMART","","360","","","","","","BR-120","","",""
"22","1","J13","-","Connector:Conn_01x01_Male","Server.pretty:BR-120","https://www.devicemart.co.kr/goods/view?no=1232631","","","DEVICEMART","","360","","","","","","BR-120","","",""
"23","1","K1","DIPxx-1Axx-11x",":DIPxx-1Axx-11x_2","Server.pretty:Relay_SPST_StandexMeder_SIL_Form1A","https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf","","","","","","","","","","","DIPxx-1Axx-11x","","",""
"24","1","K3","JQC-T78-DC12V-C","Server_Used:HR702-NH-DC12V","Server.pretty:JQC-T78-DC12V-C","https://www.openidea.co.kr/goods/goods_view.php?goodsNo=1000010196","","","DEVICEMART","","430","","","","","","HR702-NH-DC12V","","",""
"25","1","MO1","MP1584","Server_Used:MP1584","Server.pretty:MP1584-SMD","https://smartstore.naver.com/misoparts/products/5356716694","","","","","880","","","","","","Server_Used_MP1584","","",""
"26","1","MO2","STEP-UP",":MP1584_1","Server.pretty:STEP-UP","","","","","","","","","","","","STEP-UP","","",""
"27","8","Q1, Q2, Q6, Q7, Q10, Q11, Q12, Q13","AOD4185","Server_Used:AOD4185","Server.pretty:AOD1485","https://www.devicemart.co.kr/goods/view?no=6603223","","","DEVICEMART","TO-252-3","1050","","","","","","AOD4185","","",""
"28","5","Q3, Q5, Q8, Q9, Q17","MMBTA42L","Server_Used:2SC1815_SMD","Server.pretty:SOT-23","","","","","","","","","","","","Server_Used_2SC1815_SMD","","",""
"29","4","R1, R2, R4, R12","103F","CamTrol-12Ch-Main-Board-rescue:R-Server_Used-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue-CamTrol-12Ch-Main-Board-rescue","Server.pretty:R_0805_HandSoldering","https://www.partsworld.co.kr/goods/goods_view.php?goodsNo=1000000637","","","부품세상","2012(0805)","20","","","","","","10KΩ","","",""
